   44.00    133.00    147.00    215.00    268.00    321.00    430.00    545.00    550.00    673.00    737.00    717.00    795.00    687.00    712.00    785.00    611.00    519.00    456.00    344.00    303.00    253.00    182.00     61.00  
   51.00    112.00    173.00    174.00    219.00    286.00    429.00    449.00    543.00    608.00    706.00    753.00    669.00    658.00    665.00    680.00    730.00    641.00    405.00    337.00    293.00    197.00    173.00     61.00  
   44.00    130.00    180.00    230.00    197.00    315.00    394.00    457.00    535.00    602.00    719.00    729.00    700.00    645.00    775.00    688.00    701.00    583.00    474.00    379.00    346.00    289.00    160.00     76.00  
   56.00    142.00    182.00    225.00    282.00    399.00    456.00    490.00    543.00    549.00    685.00    646.00    750.00    690.00    768.00    879.00    650.00    666.00    516.00    463.00    328.00    333.00    191.00    126.00  
   59.00     78.00    184.00    251.00    319.00    392.00    451.00    561.00    560.00    592.00    637.00    756.00    797.00    802.00    888.00    862.00    568.00    533.00    595.00    422.00    370.00    373.00    181.00     89.00  
   42.00    116.00    196.00    289.00    308.00    423.00    430.00    517.00    609.00    613.00    669.00    795.00    733.00    767.00    817.00    756.00    624.00    549.00    541.00    423.00    450.00    281.00    168.00     79.00  
   22.00    151.00    215.00    250.00    307.00    410.00    400.00    557.00    646.00    671.00    748.00    774.00    729.00    745.00    782.00    774.00    849.00    570.00    541.00    527.00    336.00    196.00    204.00     46.00  
   21.00     85.00    235.00    256.00    338.00    390.00    454.00    467.00    689.00    700.00    620.00    697.00    623.00    768.00    751.00    795.00    738.00    634.00    478.00    436.00    317.00    192.00    133.00     24.00  
    6.00     90.00    152.00    247.00    341.00    420.00    451.00    495.00    512.00    621.00    720.00    733.00    681.00    635.00    679.00    620.00    574.00    523.00    491.00    461.00    321.00    207.00    100.00     13.00  
    1.00     79.00     93.00    230.00    259.00    346.00    472.00    557.00    514.00    595.00    648.00    733.00    630.00    649.00    596.00    525.00    488.00    495.00    416.00    364.00    267.00    181.00    114.00      4.00  
    0.00     50.00     94.00    207.00    284.00    363.00    417.00    458.00    468.00    525.00    649.00    596.00    561.00    605.00    611.00    538.00    483.00    443.00    370.00    290.00    243.00    168.00     76.00      0.00  
    0.00     33.00     72.00    140.00    202.00    278.00    370.00    485.00    461.00    465.00    515.00    521.00    554.00    517.00    608.00    531.00    386.00    417.00    405.00    269.00    211.00    165.00     38.00      0.00  
