    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00  
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00  
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      1.00      0.00      0.00      0.00  
    0.00      0.00      0.00     13.00     19.00     25.00     20.00      4.00      6.00      1.00      1.00      3.00      2.00      5.00     17.00      4.00      3.00      1.00     12.00     64.00     20.00      0.00      0.00      0.00  
    0.00      0.00      0.00     26.00     49.00     63.00     42.00     41.00     26.00      5.00      1.00      4.00      2.00     53.00     58.00     28.00     41.00     39.00     75.00    118.00     15.00      0.00      0.00      0.00  
    0.00      0.00      0.00     16.00     48.00     22.00     29.00     22.00     20.00      6.00      6.00      7.00      0.00      9.00     47.00     51.00     45.00     61.00     66.00     81.00      9.00      0.00      0.00      0.00  
    0.00      0.00      0.00     14.00     14.00     13.00     27.00     22.00     26.00      0.00      2.00      5.00      4.00     11.00     22.00     40.00     65.00     69.00     44.00     39.00      2.00      0.00      0.00      0.00  
    0.00      0.00      0.00     11.00     13.00     18.00     29.00     28.00     14.00      2.00      5.00      7.00      7.00      6.00     15.00     44.00     56.00     59.00     39.00     26.00      1.00      0.00      0.00      0.00  
    0.00      0.00      0.00     10.00     17.00     18.00     24.00     14.00     11.00      8.00      7.00      4.00      7.00     10.00     12.00     29.00     53.00     25.00     16.00     17.00      2.00      0.00      0.00      0.00  
    0.00      0.00      0.00      4.00     12.00     14.00     17.00      9.00      9.00     11.00     14.00      6.00     12.00     10.00     11.00     20.00     32.00     14.00     13.00      2.00      2.00      0.00      0.00      0.00  
    0.00      0.00      0.00     10.00      8.00     11.00      8.00     12.00      6.00     16.00     14.00     10.00     10.00     25.00     27.00     20.00     18.00     10.00      2.00      1.00      0.00      0.00      0.00      0.00  
    0.00      0.00      0.00      8.00     13.00     11.00      7.00      4.00      8.00      6.00     11.00     15.00     23.00     51.00     29.00     26.00     11.00      4.00      1.00      0.00      0.00      0.00      0.00      0.00  
    0.00      0.00      0.00      8.00     15.00     18.00      3.00      3.00      5.00      6.00      4.00     14.00      8.00     23.00     19.00     12.00      7.00      0.00      1.00      3.00      0.00      0.00      0.00      0.00  
    0.00      0.00      0.00      8.00     22.00     11.00      7.00      2.00      3.00      5.00     15.00     10.00      5.00     15.00     22.00      3.00      3.00      1.00      3.00      8.00      2.00      0.00      0.00      0.00  
